AI & ML Course Keywords
Keyword	Avg. monthly searches	Competition	Top of page bid (low range)	Top of page bid (high range)
data analyst course with placement	210.0	High	38.02	124.09
data analyst course in delhi with placement	210.0	High	45.1	125.06
data analyst courses with placement	210.0	High	38.02	124.09
google analytics course	170.0	Medium	14.04	75.01
microsoft data analyst certification	170.0	Medium	21.17	82.46
coursera data analyst course	170.0	Medium	17.45	81.17
data and analytics certifications	170.0	Medium	42.05	126.71
data analyst course duration	170.0	Medium	28.72	72.71
data analyst course fees in delhi	170.0	High	28.88	83.39
data analyst course in delhi fees	170.0	High	32.39	95.68
best data analyst course in delhi	170.0	High	55.66	154.35
google analytics course google	170.0	Medium	14.04	75.01
microsoft data analyst course	140.0	High	26.0	85.31
microsoft data analysis course	140.0	High	26.0	85.31
data analyst certification course	110.0	Medium	49.7	148.53
coursera data analyst	110.0	Medium	20.19	92.94
best institute for data analyst course	110.0	High	67.34	171.18
coursera data analysis	110.0	Medium	20.19	92.94
data analysis certification courses	110.0	Medium	49.7	148.53
database analyst certification	110.0	Medium	40.93	105.48
data analyst institute near me	110.0	High	65.78	176.95
udemy data analyst course	110.0	Medium	16.7	71.01
data analyst institute in delhi	110.0	High	53.6	159.42
certified data analyst certification	110.0	Medium	40.93	105.48
python and data analysis	110.0	Low	25.49	73.93
data analyst training	90.0	Low	47.25	119.12
google data analyst course	90.0	Medium	18.33	79.96
data analyst course by google	90.0	High	20.9	95.27
data analysis course fees	90.0	High	29.99	71.97
ibm data analyst course	70.0	High	20.51	102.55
data analyst course with placement guarantee	70.0	High	42.5	126.29
data analyst offline course in delhi	70.0	High	57.07	147.0
data analyst prerequisites	70.0	Low	19.39	53.31
udemy data analysis	70.0	Medium	8.28	71.91
data analysis msc	70.0	Medium	61.6	166.21
data analyst msc	70.0	Medium	61.6	166.21
data analyst course in delhi offline	70.0	Medium	51.17	141.32
data analyst course institute in delhi	70.0	High	45.64	143.66
data analysis course coursera	70.0	Low	22.22	90.19
data analysis courses for beginners	50.0	Medium	36.36	108.42
analytics courses	50.0	High	47.64	155.2
data analyst courses for beginners	50.0	Medium	36.36	108.42
learn data analysis	50.0	High	48.41	123.14
learn data analyst	50.0	High	48.41	123.14
data analyst learning	50.0	High	48.41	123.14
data analyst course offline	50.0	High	45.07	125.09
data analyst coaching near me	50.0	High	49.36	151.22
data analyst course in hindi	50.0	Medium	27.32	67.3
data analyst classes near me	40.0	Medium	45.82	111.3
data analyst course google	40.0	Medium	19.67	128.77
data analyst course duration and fees	40.0	High	32.11	72.25
data analysis using python	40.0	Medium	25.14	93.12
python programming for data analysis	40.0	Medium	25.14	93.12
data analyst using python	40.0	Medium	25.14	93.12
business analytics certification	30.0	Medium	43.52	181.92
best data analyst certification	30.0	High	40.14	99.16
business analytics online course	30.0	High	89.62	189.71
advanced analytics	30.0	Low	40.82	248.58
python data analysis course	30.0	Medium	25.14	169.48
python data analyst	30.0	Low	39.74	125.52
data analyst full course	30.0	High	37.71	100.0
simplilearn data analyst course	30.0	Medium	32.29	83.96
data analyst certification microsoft	30.0	Medium	27.11	71.11
data analyst course details	30.0	High	21.98	64.6
analytics vidhya courses	30.0	Medium	26.95	54.79
data analyst best certification	30.0	High	40.14	99.16
data analyst course price	30.0	High	30.17	80.56
best data analysis courses online	30.0	High	52.22	179.16
python course data analysis	30.0	Medium	25.14	169.48
data analyst course in delhi university	30.0	Medium	28.16	91.81
best data analyst institute in delhi	30.0	High	55.26	190.74
data analysis course udemy	30.0	Medium	11.09	64.69
data analysis course duration	30.0	Medium	28.2	72.43
big data and analytics courses	30.0	Medium	41.4	119.71
fraud analyst course	30.0	Medium	21.1	127.53
data analyst certification online	20.0	Low	49.94	99.18
data analyst google certificate	20.0	Medium	8.0	111.97
coursera business analytics	20.0	Medium	18.5	71.74
business analytics certification courses	20.0	High	77.79	213.09
data analyst course online with placement	20.0	High	41.12	129.21
scaler data analyst course	20.0	High	38.2	274.99
ibm data analyst certification	20.0	Low	29.86	84.37
business data analyst course	20.0	High	57.72	154.84
microsoft power bi data analyst certification	20.0	Low	18.22	93.58
best data analyst course with placement	20.0	High	48.47	212.54
data analysis certificate online	20.0	Low	49.94	99.18
business data analysis course	20.0	High	57.72	154.84
tableau certification data analyst	20.0	Medium	31.73	60.17
data analyst course ibm	20.0	High	35.7	137.58
data analyst course after 12th	20.0	High	25.97	88.78
excelr data analyst course	20.0	Medium	32.59	212.52
microsoft business analyst certification	20.0	Medium	22.79	96.65
data analyst coaching	20.0	High	51.65	142.56
data analyst course iit delhi	20.0	High	32.0	142.62
data analyst course microsoft	20.0	High	16.76	49.2
sql course for data analyst	20.0	Low	50.51	86.29
mis analyst course	20.0	Medium	27.05	80.16
google data analyst certification	10.0	Medium	21.41	61.37
data analyst certification for beginners	10.0	Unknown		
data analyst training and placement	10.0	High	68.47	209.66
data analyst online program	10.0	Low	97.05	146.34
data analyst certification google	10.0	High		
analytics certification	10.0	Medium	34.07	102.2
tableau data analyst certification	10.0	Medium	31.52	89.34
data analyst training program	10.0	Low	92.44	138.83
google data analyst certificate	10.0	Low	19.74	93.41
google business analyst certification	10.0	Medium	22.72	114.71
upgrad business analytics	10.0	Unknown		
business analytics certification program	10.0	High	69.18	213.77
udacity data analyst nanodegree	10.0	High	119.28	1391.16
introduction to data analysis	10.0	Low		
best business analytics courses	10.0	High	116.38	206.44
learn sql for data analysis	10.0	High		
business intelligence analyst certification	10.0	Low		
data analyst professional certificate	10.0	Medium	41.95	174.76
google analytics certification cost	10.0	Low		
learn python for data analysis	10.0	High	30.67	97.47
google certificate data analyst	10.0	Unknown		
online business analytics certificate	10.0	Unknown		
data analysis training program	10.0	Low	92.44	138.83
google analytics professional certificate	10.0	Medium	20.73	39.5
business intelligence analyst course	10.0	High	56.55	155.31
analytics certificate program	10.0	Unknown		
power bi data analyst certification	10.0	Medium	22.49	171.27
people analytics courses	10.0	High	57.62	157.07
data analyst training near me	10.0	Medium		
data analysis google certification	10.0	Unknown		
data analyst google course	10.0	High	17.04	98.72
data analytics and ai course	20.0	High	69.83	181.89
Data Science Course Keywords
Keyword	Avg. monthly searches	Competition	Top of page bid (low range)	Top of page bid (high range)
data science	8100.0	Low	20.42	69.06
data science course	4400.0	Medium	41.44	112.6
data science classes	4400.0	Medium	41.44	112.6
data scientist classes	4400.0	Medium	41.44	112.6
data science cours	4400.0	Medium	41.44	112.6
data science course in delhi	1300.0	Medium	43.63	126.25
data scientist course in delhi	1300.0	Medium	43.63	126.25
data science course fees	590.0	High	32.54	79.43
data scientist course fees	590.0	High	32.54	79.43
python for data science	480.0	Low	24.71	75.19
python and data science	480.0	Low	24.71	75.19
python programming for data science	480.0	Low	24.71	75.19
python for data scientists	480.0	Low	24.71	75.19
data science online course	390.0	Low	53.97	162.4
data science online classes	390.0	Low	53.97	162.4
mastering data science	390.0	Medium	67.69	226.73
ibm data science professional certificate	260.0	Low	24.6	94.07
data science course near me	260.0	Medium	54.74	141.07
data scientist course near me	260.0	Medium	54.74	141.07
datamites data science courses in delhi	260.0	Low		
msc data science	210.0	Medium	63.45	206.86
master of science in artificial intelligence	210.0	Medium	53.31	201.24
data science institute in delhi	210.0	Medium	51.16	148.95
data science in delhi	210.0	Medium	51.16	148.95
best data science courses	170.0	High	46.56	138.8
best data scientist course	170.0	High	46.56	138.8
bachelor's in data science	140.0	Low	31.76	109.01
statistics and data science	140.0	Low	28.86	100.4
data science statistics	140.0	Low	28.86	100.4
data science qualification	140.0	Low	26.14	66.37
b tech data science	140.0	Low	32.1	106.88
data science certificate	110.0	Medium	38.26	112.99
data science programs	110.0	Low	42.33	124.97
data science degrees	110.0	Low	42.33	124.97
data science course duration	110.0	Medium	27.43	55.07
coursera data science courses	110.0	Low	22.03	97.3
b tech in data science	110.0	Low	43.63	161.8
data science course in coursera	110.0	Low	22.03	97.3
data science certification course	90.0	Medium	52.13	130.41
data science and analytics courses	90.0	Medium	46.23	114.88
iit data science course	90.0	High	24.59	86.74
data scientist certification course	90.0	Medium	52.13	130.41
iit delhi data science course	90.0	Medium	29.77	102.01
best data science institute in delhi	90.0	Medium	54.35	154.68
data science institute near me	90.0	Medium	57.9	153.96
data science courses after 12th	90.0	Medium	30.18	70.87
certified data science course	90.0	Medium	52.13	130.41
top 10 data science institute in delhi	90.0	Medium	34.04	120.71
data science analytics course	90.0	Medium	46.23	114.88
best data science course in delhi	90.0	Low	100.29	250.69
data science course with placement	70.0	High	48.99	164.6
msc data science online	70.0	Medium	82.83	266.27
m tech in data science	70.0	Medium	33.6	115.47
introduction to data science	70.0	Low	23.01	53.81
udemy data science course	70.0	Low	4.56	49.13
scaler data science course fees	70.0	Medium	37.76	261.07
data scientist course with placement	70.0	High	48.99	164.6
data science machine learning	70.0	Medium	31.57	123.29
online master's data science	70.0	Medium	81.15	199.03
data science course udemy	70.0	Low	4.56	49.13
data science course fees in delhi	70.0	High	34.0	96.05
data science course in delhi fees	70.0	High	32.21	111.02
ph d in data science	70.0	Low	33.53	194.1
data science iit delhi	70.0	Medium	32.13	103.72
udemy courses data science	70.0	Low	4.56	49.13
data science with machine learning	70.0	Medium	31.57	123.29
introduction of data science	70.0	Low	23.01	53.81
data science for machine learning	70.0	Medium	31.57	123.29
machine learning with data science	70.0	Medium	31.57	123.29
scientist course	70.0	Low	22.34	56.68
data scientist introduction	70.0	Low	23.01	53.81
scientist courses	70.0	Low	22.34	56.68
coursera data science	50.0	Medium	20.58	60.54
learn data science	50.0	High	41.31	168.99
ibm data science	50.0	Low	25.11	57.78
r for data science	50.0	Low	25.37	63.42
pg in data science	50.0	High	95.4	222.06
python data science course	50.0	Low	29.79	107.61
ibm data science course	50.0	Medium	19.05	95.44
data science google	50.0	Low	30.27	73.09
data science near me	50.0	Medium	57.3	151.47
m tech data science	50.0	High	36.77	120.2
data science offline course in delhi	50.0	Low	43.81	116.65
certifications for data science	50.0	Medium	40.73	132.49
data science course in delhi with placement	50.0	Medium	39.46	126.88
best institute for data science in delhi	50.0	Medium	60.88	210.64
computer science artificial intelligence	50.0	Low	29.03	103.03
python course data science	50.0	Low	29.79	107.61
computer science and artificial intelligence	50.0	Low	29.03	103.03
data science subject	50.0	Low	26.6	52.97
data science class 10	50.0	Low	35.83	60.13
data science in google	50.0	Low	30.27	73.09
scaler data science	40.0	High	34.82	199.35
udemy data science	40.0	High	9.62	73.67
best institute for data science	40.0	High	71.27	151.98
data science and machine learning course	40.0	Medium	44.57	161.12
google data science course	40.0	Medium	22.28	91.61
sql for data science	40.0	Low	25.1	96.63
iit data science	40.0	Medium	29.79	83.45
data science course fees and duration	40.0	Medium	29.84	60.95
microsoft data science certification	40.0	Medium	25.69	68.38
data science machine learning course	40.0	Medium	44.57	161.12
best data science institute in delhi with placement	40.0	Medium	28.72	98.69
data science in iit	40.0	Medium	29.79	83.45
coding ninjas data science course	40.0	High	23.08	90.53
udemy data scientist	40.0	High	9.62	73.67
data science course in delhi university	40.0	Medium	32.76	90.59
ignou data science course	40.0	Medium	34.11	70.82
data science course in laxmi nagar	40.0	Low	18.85	51.67
sql in data science	40.0	Low	25.1	96.63
simplilearn data science	30.0	Medium	46.9	125.24
data science course with placement guarantee	30.0	High	53.46	142.59
data science course for beginners	30.0	Low	33.85	72.76
upgrad data science course	30.0	Medium	43.13	650.31
best online data science courses	30.0	Medium	39.5	169.22
data science full course	30.0	High	36.08	101.21
data science for finance	30.0	Low	32.57	121.3
data science course iit	30.0	High	30.56	77.91
data science master's programs	30.0	Low	65.69	190.14
ibm data science professional certificate coursera	30.0	Low	15.77	46.03
data science coaching near me	30.0	Medium	51.53	112.91
data science course offline in delhi	30.0	High	51.79	133.78
data science course in delhi offline	30.0	Medium	80.78	193.31
iim data science course	30.0	Medium	28.08	92.16
data scientist simplilearn	30.0	Medium	46.9	125.24
data science course from iim	30.0	Medium	28.08	92.16
data science and finance	30.0	Low	32.57	121.3
great learning data science	20.0	Medium	69.03	460.58
scaler data science course	20.0	High	33.82	200.07
best data science certification	20.0	Medium	42.28	121.67
online data science programs	20.0	Medium	52.42	141.42
data science for business	20.0	Medium	32.74	130.96
coursera ibm data science	20.0	Medium	17.51	47.19
intellipaat data science	20.0	High	31.73	94.87
online data science degrees	20.0	Medium	52.42	141.42
iim data science	20.0	Medium	45.02	118.92
data science using python	20.0	Medium	23.41	63.76
upgrad data science course fees	20.0	High		
best certification for data science	20.0	Medium	42.28	121.67
data science course offline	20.0	High	39.9	134.07
data science course from iit	20.0	High	44.7	115.68
data science offline course	20.0	High	59.72	158.31
offline data science course in delhi	20.0	High	41.2	180.81
niit data science course	20.0	High	24.15	156.17
azure data scientist associate	20.0	Low		
nptel data science	20.0	Low	28.13	75.52
data science after 12th	20.0	Medium	35.78	76.25
introduction to data science in python	20.0	Low		
data science course in delhi government	20.0	Medium	14.92	57.82
data science course iit delhi	20.0	High	29.52	98.11
data scientist course details	20.0	Medium	29.67	81.86
data science course in hindi	20.0	Medium	19.81	55.32
data science best institute in delhi	20.0	High	57.6	185.82
data science course institute in delhi	20.0	High	29.24	121.47
microsoft data science course	20.0	Medium		
data science course for commerce students	20.0	Low	28.24	108.8
iit delhi data science course fees	20.0	Medium	28.02	92.14
data science coaching in delhi	20.0	High	44.91	98.37
cse data science	20.0	Low		
basic data science	20.0	Low	30.85	70.95
data science nptel	20.0	Low	28.13	75.52
data science course in delhi ncr	20.0	High		
iit delhi data science and machine learning course	20.0	High	51.6	213.89
data science and business	20.0	Medium	32.74	130.96
science certificate	20.0	Low		
data science certificate programs	10.0	Low		
google data science certification	10.0	Medium	21.52	54.73
graduate certificate in data science	10.0	Unknown		
data science graduate programs	10.0	Unknown		
data science certificate online	10.0	Low	48.58	155.16
data science for beginners	10.0	Low		
best data science course with placement guarantee	10.0	High	49.68	104.79
data science online course with certificate	10.0	High	49.86	165.48
learnbay data science	10.0	High	29.54	80.36
applied data science	10.0	Medium	43.89	134.59
data science professional certificate	10.0	Medium		
udacity data science	10.0	Medium		
applied data science program	10.0	Unknown		
data science google certification	10.0	Unknown		
edx data science	10.0	Unknown		
data scientist training program	10.0	Medium	102.15	320.44
learn python for data science	10.0	Medium	33.94	109.49
data science classes near me	10.0	Medium	59.13	147.87
edureka data science	10.0	High		
guvi data science	10.0	Low		
best data science certificate programs	10.0	Unknown		
data science course with 100 placement guarantee	10.0	High	73.41	165.85
data science 365	10.0	Low		
best data science master's programs	10.0	High	100.22	178.76
data science short course	10.0	Unknown		
statistical thinking for data science and analytics	10.0	Unknown		
aws data science certification	10.0	Medium		
data science and business analytics course	10.0	Medium		
pg program in data science	10.0	High		
ibm data science certification	10.0	Medium	20.36	108.9
intellipaat data science course	10.0	High	48.77	206.3
great learning data science fees	10.0	Low		
coursera data science certificate	10.0	Low		
learn data science online	10.0	High		
data science course online with placement	10.0	High	57.11	219.71
data science course online with certificate	10.0	High		
data science courses for working professionals	10.0	Medium		
scaler academy data science	10.0	Medium	46.42	333.05
data scientist certification online	10.0	Low	48.58	155.16
iisc data science course	10.0	Medium		
data science postgraduate	10.0	Unknown		
google data science certificate	10.0	High		
pgdm in data science	10.0	High	70.81	135.46
best data science certification online	10.0	Unknown		
graduate certificate in data science online	10.0	Unknown		
full stack data science course	10.0	Low		
data science certificate programs online	10.0	Unknown		
ibm data science professional certificate cost	10.0	High		
best data science courses with placement	10.0	High		
data science course for working professionals	10.0	High	38.84	128.46
data science upgrad	10.0	Low		
data science great learning	10.0	High		
data science study	10.0	Medium	27.84	96.28
excelr data science course	10.0	High		
best way to learn data science	10.0	High		
azure data science certification	10.0	Low		
data science course duration and fees	10.0	Medium	43.22	64.15
data science course upgrad	10.0	Medium		
cheapest online data science master's	10.0	High		
pg program in data science and business analytics	10.0	Unknown		
offline data science course	10.0	High	55.89	256.61
harvardx data science	10.0	Medium	47.88	91.68
azure data science	10.0	Medium	25.67	98.57
data science nanodegree	10.0	Medium		
top data science courses	10.0	High	27.44	172.06
machine learning and data science	10.0	High	39.35	98.12
professional certificate in data science	10.0	Unknown		
data science course best institute	10.0	Medium	35.39	131.86
data science course after 12	10.0	Medium		
simplilearn data science course	10.0	Medium	49.78	163.64
6 months data science course	10.0	Low		
data science google course	10.0	High		
udacity data science nanodegree	10.0	Low		
online data science course with placement	10.0	High	58.64	156.15
data science for all	10.0	Unknown		
postgraduate data science	10.0	Unknown		
data science online course with placement	10.0	High	74.02	150.63
data science prerequisites	10.0	Low		
study data science online	10.0	Unknown		
data science course and placement	10.0	High		
data science course google	10.0	Medium		
data science for managers	10.0	Low		
online data science course with placement guarantee	10.0	Unknown		
advanced certificate program in data science	10.0	High		
learn data science from scratch	10.0	High	47.35	112.47
top data science certifications	10.0	Low		
data science with placement	10.0	High		
m tech in data science for working professionals	10.0	Medium	47.03	163.79
data science 101	10.0	Unknown		
data science fundamentals	10.0	Low		
great learning data science course	10.0	Medium	48.16	158.54
applied data science with python	10.0	Medium		
data science course fees online	10.0	High		
learn r for data science	10.0	Unknown		
data science executive program	10.0	High		
complete data science course	10.0	High	51.52	105.07
statistics course for data science	10.0	Medium	36.61	98.42
best universities for data science	10.0	High	43.61	121.41
ibm certification data science	10.0	Medium	20.36	108.9
almabetter data science fees	10.0	Medium		
r programming for data science	10.0	Low		
data science course great learning	10.0	Unknown		
imarticus data science	10.0	High	49.51	217.86
data science placement course	10.0	High	69.16	102.31
data science 6 months course	10.0	High	96.46	264.65
best data science courses for beginners	10.0	Unknown		
data science with python certification	10.0	Low		
python data science certification	10.0	Low		
python for data science ibm	10.0	Medium	25.39	117.46
coursera ibm data science professional certificate	10.0	Medium	38.05	270.76
micromasters data science	10.0	Unknown		
great learning data science and business analytics	10.0	Unknown		
data scientist study	10.0	Medium	27.84	96.28
data science undergraduate programs	10.0	Unknown		
data science pg program	10.0	Unknown		
3 months data science course	10.0	Unknown		
great learning data science course fees	10.0	High		
best institute for data science with placement	10.0	Unknown		
learnbay data science course	10.0	Low		
iim data science course online	10.0	Unknown		
udacity data scientist nanodegree	10.0	Low		
ibm data science professional	10.0	Unknown		
mitx micromasters data science	10.0	Low		
environmental data science	10.0	Low		
best data science courses in the world	10.0	Unknown		
data science pg courses	10.0	High	54.68	196.1
learn statistics for data science	10.0	Unknown		
google certificate data science	10.0	Unknown		
data science course with certification	10.0	Unknown		
google certification data science	10.0	Unknown		
data science micromasters	10.0	Unknown		
coding ninjas data science	10.0	Medium	39.49	97.86
iit data science course online	10.0	High		
simplilearn data science course fees	10.0	Medium		
edureka data science course fees	10.0	High		
best online institute for data science	10.0	Unknown		
data science course scaler	10.0	High	60.34	394.06
data science and machine learning certification	10.0	Low		
getting started with data science	10.0	Low		
data science fees	10.0	Medium	48.97	100.55
data science for executives	10.0	High		
ibm coursera data science	10.0	High		
full data science course	10.0	High	30.95	183.79
best institute to learn data science	10.0	Unknown		
data science certificate google	10.0	High		
best data science graduate programs	10.0	Unknown		
data science complete course	10.0	High	48.47	108.29
executive program in data science	10.0	High		
data science from iit	10.0	High	30.64	66.78
data science course near me with placement	10.0	High		
data science and business analytics certification	10.0	Unknown		
python and data science course	10.0	Unknown		
data science online certification course	10.0	Unknown		
fees for data science course	10.0	High		
coursera python for data science	10.0	Low	16.65	107.22
pg certification in data science	10.0	Unknown		
data science in healthcare course	10.0	High	41.43	102.52
data scientist training and placement	10.0	Unknown		
statistics for data science course	10.0	Medium	36.61	98.42
python for data science and machine learning	10.0	Low		
data science pg course	10.0	High	54.68	196.1
upgrad data science fees	10.0	Low		
mooc data science	10.0	Unknown		
pgdm data science	10.0	High	111.69	154.54
data science course with guaranteed placement	10.0	Unknown		
data science course by google	10.0	Medium	44.57	125.71
offline courses for data science	10.0	High	56.96	169.46
